鄉鎮市區,交易標的,土地區段位置／建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,單價(元／平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
北區,建物,光華二街108巷1～30號,0,,,,10109,,四層,5,套房,住家用，共同使用部份,鋼筋混凝土造,7807,1房,1廳,1衛,有隔間,無管理組織,7500,438,,0,0,無
北區,建物,北新街121～150號,0,,,,10108,,十層,10,套房,見其他登記事項,鋼筋混凝土造,9803,2房,1廳,1衛,有隔間,有管理組織,16000,1022,,0,0,無
東區,建物,林森路271～300號,20.81,商20.81,,,10108,,十二層,17,套房,共同使用部份,鋼筋混凝土造,8605,1房,,1衛,有隔間,有管理組織,5400,290,,0,0,無
北區,建物,武陵路175巷1～30號,0,,,,10109,建物1,十七層,21,華廈,住家用，見其他登記事項,鋼筋混凝土造,8707,3房,2廳,2衛,有隔間,有管理組織,12500,267,,0,0,無
北區,建物,經國路二段151～180號,0,,,,10108,,四層,10,套房,見其他登記事項,鋼筋混凝土造,9707,1房,1廳,1衛,有隔間,有管理組織,13000,960,,0,0,無
東區,建物,民生路211巷1～30號,0,,,,10108,建物1,七層,7,華廈,共同使用部份，住家用,鋼筋混凝土造,,3房,2廳,2衛,有隔間,無管理組織,17500,445,,0,0,無
東區,建物,東區光復路二段298巷9弄1～30號,0,,,,10109,建物1,四層,7,華廈,住家用，見其他登記事項,鋼筋混凝土造,8407,3房,2廳,2衛,有隔間,有管理組織,15000,377,,0,0,無
東區,建物,自由路16巷19弄1～30號,0,,,,10108,建物1,四層,5,公寓,住家用，共同使用部份,鋼筋混凝土造,7710,3房,2廳,2衛,有隔間,無管理組織,12000,335,,0,0,無
香山區,建物,中華路四段451巷110弄1～30號,0,,山坡地保育區,,10109,建物1,一層,5,公寓,住家用，共同使用部份,鋼筋混凝土造,8110,2房,2廳,2衛,有隔間,無管理組織,10000,350,,0,0,無
東區,建物,東區振興路91～120號,0,,,,10108,建物1,二層,7,華廈,住家用，共同使用部份,鋼筋混凝土造,8209,3房,2廳,2衛,有隔間,有管理組織,12000,349,,0,0,無
東區,建物,東區建功一路91～120號,0,,,,10108,建物1,四層,12,住宅大樓,國民住宅，見其他登記事項,鋼筋混凝土造,8909,3房,2廳,2衛,有隔間,有管理組織,15000,384,,0,0,無
東區,建物,東大路一段25巷1～30號,0,,,,10108,建物1,三層,5,公寓,共同使用部份，住家用,鋼筋混凝土造,8201,3房,2廳,2衛,有隔間,無管理組織,13500,423,,0,0,無
東區,建物,東區光復路二段393巷4弄1～30號,0,,,,10108,建物1,三層,5,公寓,住家用，共同使用部份,鋼筋混凝土造,7802,3房,2廳,2衛,有隔間,無管理組織,15000,406,,0,0,無
東區,建物,東區光復路一段41巷1～30號,0,,,,10108,,二層,6,套房,共同使用部份，住家用,鋼筋混凝土造,8505,1房,,1衛,有隔間,無管理組織,4500,126,,0,0,隔間分租套房
北區,建物,經國路二段181～210號,0,,,,10108,,十一層,11,套房,見其他登記事項,鋼筋混凝土造,9711,1房,,,有隔間,有管理組織,12000,1135,,0,0,無
北區,建物,經國路二段151～180號,0,,,,10108,,八層,10,套房,見其他登記事項,鋼筋混凝土造,9707,1房,1廳,1衛,無隔間,有管理組織,13000,960,,0,0,無
北區,建物,北區城北街61～90號,0,,,,10108,建物1,一層,4,店面,住商用,鋼筋混凝土造,6404,,,1衛,有隔間,無管理組織,38000,2361,,0,0,無
東區,建物,東區建功一路91～120號,0,,,,10109,建物1,四層,12,住宅大樓,國民住宅，見其他登記事項,鋼筋混凝土造,8704,3房,2廳,2衛,有隔間,有管理組織,18000,457,,0,0,無
北區,建物,經國路二段511～540號,0,,,,10108,建物1車位1,十一層,13,住宅大樓,見其他登記事項,鋼筋混凝土造,9512,2房,1廳,1衛,有隔間,有管理組織,15000,570,坡道平面,0,0,無
東區,建物,東區東明街138巷1～30號,0,,,,10108,建物1車位1,三層,5,公寓,住家用，共同使用部份,鋼筋混凝土造,8209,2房,2廳,2衛,有隔間,有管理組織,11500,311,坡道機械,0,0,無
東區,建物,建中一路1～30號,0,,,,10108,建物1車位1,十五層,19,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8607,3房,2廳,2衛,有隔間,有管理組織,19000,405,坡道平面,0,0,無
北區,建物,北區東大路二段232巷1～30號,0,,,,10108,建物1車位1,十二層,13,住宅大樓,見其他登記事項,鋼筋混凝土造,9302,4房,2廳,2衛,有隔間,有管理組織,18000,314,坡道平面,0,0,無
北區,建物,北區湳雅街181～210號,0,,,,10108,建物1車位1,一層,14,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8101,4房,2廳,1衛,有隔間,有管理組織,12000,160,坡道機械,0,0,無
東區,建物,東區東南街271～300號,0,,,,10109,建物1,見其他登記事項,2,店面,住商用,加強磚造,,3房,2廳,2衛,有隔間,無管理組織,22000,582,,0,0,無
香山區,建物,經國路三段2巷31～60號,0,,,,10108,建物1車位1,一層,9,華廈,住家用，共同使用部份,鋼筋混凝土造,8712,3房,2廳,2衛,有隔間,有管理組織,13000,167,坡道機械,0,0,無
東區,建物,光華街27巷1～30號,0,,,,10108,建物1,五層,5,公寓,住家用,鋼筋混凝土造,7812,3房,2廳,2衛,有隔間,有管理組織,9000,280,,0,0,無
東區,建物,自由路91～120號,0,,,,10108,,九層,12,套房,見使用執照，共同使用部份,鋼筋混凝土造,8012,1房,,1衛,無隔間,有管理組織,8500,581,,0,0,無
北區,建物,東門街112巷1～30號,0,,,,10108,,二層,4,透天厝,住家用,磚造,4401,1房,,1衛,無隔間,無管理組織,7500,1078,,0,0,無
北區,建物,東門街112巷1～30號,0,,,,10109,,四層,4,透天厝,住家用,磚造,4401,1房,,1衛,無隔間,無管理組織,7000,1006,,0,0,無
北區,建物,東門街112巷1～30號,0,,,,10108,,一層,4,透天厝,住家用,磚造,4401,1房,,1衛,無隔間,無管理組織,7000,1157,,0,0,無
北區,建物,東門街112巷1～30號,0,,,,10109,,一層,4,透天厝,住家用,磚造,4401,1房,,1衛,無隔間,無管理組織,7500,1078,,0,0,無
北區,建物,天府路61～90號,0,,,,10109,建物1,一層,5,店面,見其他登記事項,鋼筋混凝土造,9403,1房,1廳,1衛,有隔間,無管理組織,11000,808,,0,0,成交住址為天府路一段410號
東區,建物,東區金山東街31～60號,166,住166,,,10108,,二層,5,透天厝,見其他登記事項,鋼筋混凝土造,9911,1房,,1衛,有隔間,無管理組織,5500,909,,0,0,分租套房
東區,建物,金山十街91～120號,91.98,住91.98,,,10108,,二層,5,透天厝,見其他登記事項,鋼筋混凝土造,10005,1房,,1衛,有隔間,無管理組織,7300,1724,,0,0,分租套房
東區,建物,金山北三街91～120號,99,住99,,,10108,,一層,4,透天厝,見其他登記事項,鋼筋混凝土造,8907,1房,,1衛,有隔間,無管理組織,5500,866,,0,0,分租套房
東區,建物,明湖路721～750號,0,,,,10108,建物1,地下二層,7,套房,見其他登記事項，共同使用部份,鋼筋混凝土造,9402,1房,,1衛,無隔間,有管理組織,9000,615,,0,0,無
東區,建物,竹蓮街151～180號,0,,,,10108,,四層,5,華廈,見其他登記事項,鋼筋混凝土造,9704,1房,,1衛,有隔間,無管理組織,6000,1417,,0,0,無
東區,建物,竹蓮街151～180號,0,,,,10108,,三層,5,華廈,見其他登記事項,鋼筋混凝土造,9704,1房,,1衛,無隔間,無管理組織,6000,1240,,0,0,無
